id,popCens2010,popEst2013,popEst2016,chng2013,chng2016
35001,662564,674460,676953,1.795449194,2.171714732
35003,3725,3580,3508,-3.89261745,-5.825503356
35005,65645,65861,65282,0.329042578,-0.552974332
35006,27213,27439,27487,0.83048543,1.006871716
35007,13750,13039,12253,-5.170909091,-10.88727273
35009,48376,50574,50280,4.543575327,3.935835952
35011,2022,1893,1793,-6.379821958,-11.32542038
35013,209233,213651,214207,2.111521605,2.377254066
35015,53829,55599,57621,3.288190381,7.0445299
35017,29514,29241,28280,-0.924984753,-4.181066612
35019,4687,4549,4376,-2.94431406,-6.63537444
35021,695,688,665,-1.007194245,-4.316546763
35023,4894,4616,4302,-5.68042501,-12.09644463
35025,64727,68164,69749,5.309994284,7.758740556
35027,20497,19979,19429,-2.527199102,-5.210518612
35028,17950,17817,18147,-0.740947075,1.097493036
35029,25095,24686,24450,-1.629806734,-2.570233114
35031,71492,73270,74923,2.486991552,4.799138365
35033,4881,4665,4504,-4.42532268,-7.723827085
35035,63797,65813,65410,3.160023199,2.528332053
35037,9041,8687,8365,-3.915496073,-7.477048999
35039,40246,40058,40040,-0.467127168,-0.51185211
35041,19846,19996,19082,0.755819813,-3.849642245
35043,131561,136482,142025,3.7404702,7.953724888
35045,130044,126518,115079,-2.711389991,-11.50764357
35047,29393,28696,27760,-2.371312898,-5.555744565
35049,144170,146754,148651,1.792328501,3.108136228
35051,11988,11561,11191,-3.561895229,-6.648314982
35053,17866,17525,17027,-1.908653308,-4.696070749
35055,32937,32991,33065,0.163949358,0.3886207
35057,16383,15681,15302,-4.2849295,-6.598303119
35059,4549,4372,4183,-3.890965047,-8.045724335
35061,76569,76288,75626,-0.366989252,-1.231568912
